COUNTRY,PERNUM,AGE,SEX,MARST,INDIG,EDATTAIN,YRSCHOOL,EMPSTAT,INCEARN
840,1,59,1,2,2,3,13,1,59000
484,1,43,1,2,1,2,6,1,0
484,2,0,2,1,2,0,99,0,99999999
484,2,68,2,2,1,1,0,3,99999999
484,1,75,1,4,2,1,3,3,99999999
484,1,42,2,3,2,2,9,1,7000
484,1,38,1,2,1,2,9,1,0
484,9,39,2,1,2,2,6,1,2571
484,1,36,1,2,2,2,9,1,7714
484,1,24,1,2,2,2,9,1,4286
840,1,16,1,1,2,2,9,3,0
484,2,6,1,1,2,1,0,0,99999999
484,2,34,2,2,2,2,10,3,99999999
484,4,7,1,1,1,1,1,0,99999999
484,5,46,2,2,1,2,6,1,99999998
484,1,41,1,2,1,4,16,1,5400
484,2,80,2,2,2,1,0,3,99999999
484,4,43,2,2,2,1,2,3,99999999
484,2,45,2,2,2,2,11,3,99999999
484,14,35,1,2,1,2,6,1,5571
484,3,8,2,1,2,1,2,0,99999999
484,3,57,1,2,1,1,5,3,99999999
484,1,41,1,2,2,4,16,1,8000
484,4,27,2,1,2,1,0,3,99999999
484,3,17,2,1,2,2,9,3,99999999
840,1,56,1,2,2,3,13,1,65000
484,8,17,2,1,1,2,6,1,30000
484,4,9,2,1,2,1,2,0,99999999
484,3,27,2,1,1,3,15,3,99999999
484,2,11,1,1,2,1,4,0,99999999
484,1,62,1,2,2,1,0,3,99999999
484,1,32,1,2,2,2,9,1,6429
484,1,38,1,2,2,1,3,1,0
484,3,8,2,1,2,1,2,0,99999999
840,4,2,1,1,2,0,99,0,0
484,1,67,1,2,1,1,0,1,0
484,3,23,1,1,1,2,9,3,99999999
484,2,42,2,2,1,2,6,3,99999999
484,1,35,1,2,1,2,8,1,1714
484,3,8,2,1,2,1,2,0,99999999
840,1,59,1,2,2,3,13,1,79000
484,7,17,1,1,1,1,0,1,0
484,2,23,1,1,2,4,17,1,5200
484,2,41,2,2,1,2,6,3,99999999
484,1,83,1,2,2,1,3,3,99999999
484,3,23,2,2,2,2,9,3,99999999
484,1,70,2,1,1,1,4,1,1286
484,1,69,2,2,2,1,3,3,99999999
484,5,5,1,1,2,1,0,0,99999999
840,1,38,2,2,2,3,12,1,25000
484,8,25,1,2,2,2,10,1,5143
484,1,61,1,2,2,2,6,3,99999999
484,1,59,2,4,1,1,0,3,99999999
484,3,1,2,1,2,0,99,0,99999999
484,4,35,2,2,2,4,16,1,7000
484,2,6,1,1,1,1,0,0,99999999
484,5,27,2,2,2,2,11,3,99999999
484,2,12,2,1,2,2,6,3,99999999
484,2,90,2,4,2,1,0,3,99999999
484,7,22,1,2,2,2,8,1,4286
840,3,58,1,1,2,4,13,1,12000
484,1,58,1,2,1,2,7,1,3000
840,1,93,1,2,2,2,10,3,0
484,4,3,1,1,2,1,0,0,99999999
484,5,1,2,1,2,0,99,0,99999999
484,5,28,2,2,2,2,11,3,99999999
484,1,70,1,2,2,1,0,1,0
484,3,2,1,1,1,0,99,0,99999999
484,4,12,1,1,1,2,6,3,99999999
840,5,2,1,1,2,0,99,0,0
840,2,12,2,1,2,1,5,0,0
484,2,27,2,2,2,3,12,3,99999999
484,2,11,2,1,2,2,6,0,99999999
484,2,6,2,1,2,1,0,0,99999999
484,3,21,2,2,2,2,9,3,99999999
484,5,27,2,2,9,2,11,3,99999999
484,3,48,1,1,2,1,1,1,2571
840,3,15,1,1,2,2,9,0,0
484,1,40,2,2,1,2,6,3,99999999
484,5,35,2,2,2,2,9,3,99999999
484,2,3,2,1,1,1,0,0,99999999
484,1,53,1,2,1,2,6,1,1286
484,1,84,1,2,2,1,2,3,99999999
840,5,55,1,3,2,3,13,3,0
484,1,29,1,2,9,4,17,1,1360
484,1,44,2,4,1,1,4,3,99999999
484,4,10,2,1,2,1,3,0,99999999
484,2,40,2,2,1,2,6,3,99999999
484,7,17,1,1,1,2,6,3,99999999
484,4,22,2,1,2,4,18,3,99999999
484,1,73,1,3,2,1,0,3,99999999
840,3,18,1,1,2,2,11,1,4000
484,9,23,2,1,2,4,17,1,0
484,1,70,1,2,2,1,3,3,99999999
484,5,22,2,2,1,2,9,3,99999999
484,3,33,1,3,2,2,9,1,5571
840,2,30,2,2,2,3,12,3,0
484,1,27,1,2,1,2,9,1,4071
840,1,20,1,1,2,3,12,3,2000
484,3,19,1,1,2,3,12,1,2571
484,3,44,2,2,2,2,9,3,99999999
484,3,45,1,2,2,2,9,1,10286
840,1,53,1,3,2,3,12,3,0
484,3,17,2,1,1,2,6,3,99999999
484,3,66,2,2,2,1,3,3,99999999
484,1,36,1,3,2,2,9,1,12000
840,1,56,2,2,2,4,13,1,95000
484,3,37,2,2,2,3,15,3,99999999
484,8,39,2,1,2,4,17,1,6000
484,4,47,1,2,2,3,15,1,6429
484,3,17,2,1,1,2,9,1,2271
484,2,3,2,1,2,1,0,0,99999999
484,3,35,2,2,2,2,9,1,1286
484,2,1,1,1,2,0,99,0,99999999
840,1,80,1,2,2,4,13,3,0
484,1,31,1,2,1,2,9,3,99999999
484,1,38,1,2,2,2,9,1,5000
484,1,81,1,2,2,1,0,3,99999999
484,3,58,2,2,2,1,3,3,99999999
484,2,42,2,2,2,2,6,3,99999999
484,5,13,1,1,2,2,7,3,99999999
484,1,44,1,2,2,2,9,1,6429
484,2,30,2,2,2,4,17,3,99999999
484,4,40,2,2,2,4,17,1,13000
484,2,3,1,1,2,1,0,0,99999999
840,4,13,2,1,2,2,7,0,0
484,6,17,2,1,2,2,9,3,99999999
484,3,23,2,2,1,2,9,3,99999999
840,3,18,1,1,2,2,11,3,0
484,4,9,1,1,1,1,2,0,99999999
484,7,29,1,1,2,2,9,1,3000
484,2,59,2,2,2,3,12,1,8571
484,3,26,2,2,1,2,9,3,99999999
840,1,60,2,4,2,3,12,1,49000
484,3,52,2,2,1,2,6,1,1286
840,1,32,2,1,2,4,13,1,100000
484,3,10,1,1,2,1,3,0,99999999
840,3,12,2,1,2,1,5,0,0
484,2,42,2,2,9,2,9,3,99999999
484,2,27,1,1,2,3,15,3,99999999
484,2,13,2,1,1,2,8,3,99999999
484,4,23,2,2,2,2,8,3,99999999
484,4,14,2,1,1,2,6,3,99999999
484,6,17,2,1,2,2,9,3,99999999
484,4,13,1,1,2,2,7,3,99999999
484,7,11,2,1,1,1,4,0,99999999
484,10,29,2,1,2,4,17,1,6000
484,1,56,2,1,2,2,6,1,857
484,4,39,2,2,1,2,6,3,99999999
484,5,18,1,1,1,2,11,3,99999999
484,4,13,2,1,1,2,7,3,99999999
840,1,85,1,2,2,4,13,3,0
484,1,80,1,2,2,1,0,3,99999999
484,4,80,2,2,2,1,0,3,99999999
484,4,0,1,1,2,0,99,0,99999999
484,4,59,2,2,2,1,3,3,99999999
484,6,1,2,1,2,0,99,0,99999999
484,1,48,1,2,1,2,6,3,99999999
484,4,18,2,1,1,2,7,3,99999999
484,4,33,1,2,2,2,9,1,6429
840,2,41,2,2,2,1,4,3,0
484,1,72,1,2,1,9,98,3,99999999
484,3,17,2,1,2,3,12,3,99999999
484,7,14,1,1,1,1,5,3,99999999
484,4,8,2,1,2,1,2,0,99999999
484,2,18,2,1,2,3,13,3,99999999
484,3,44,2,2,1,2,9,3,99999999
484,2,49,1,1,2,1,2,1,0
484,1,52,1,2,2,2,7,1,6000
484,2,12,2,1,2,2,6,3,99999999
484,2,43,1,3,1,1,4,3,99999999
484,2,0,1,1,9,0,99,0,99999999
484,1,43,1,1,2,2,9,1,4286
484,2,5,2,1,2,1,0,0,99999999
484,17,9,2,1,2,1,3,0,99999999
484,1,34,1,2,1,2,9,1,3000
840,1,43,2,2,2,3,12,1,13000
840,1,60,1,2,2,3,13,1,74000
484,5,22,2,2,1,2,9,3,99999999
484,1,50,1,2,1,4,17,1,4000
484,2,18,1,1,1,2,11,3,99999999
840,1,82,2,4,2,3,12,3,0
484,3,15,1,1,1,2,9,3,99999999
484,1,63,1,2,1,3,12,3,99999999
484,1,38,1,2,2,4,17,1,4000
484,1,28,1,2,1,2,9,3,99999999
484,1,42,1,2,2,2,6,1,4286
840,1,24,2,1,2,4,13,1,20000
484,1,74,1,2,2,1,1,3,99999999
484,3,47,1,4,1,3,13,1,12857
840,1,66,2,2,2,3,12,3,0
840,5,0,1,1,2,0,99,0,0
840,1,19,2,1,2,3,13,1,2000
484,6,43,2,3,2,1,0,3,99999999
484,3,6,1,1,1,1,0,0,99999999
840,4,7,1,1,2,1,0,0,0
484,1,38,1,2,2,2,6,1,6429
840,3,29,1,1,2,3,12,1,15000
484,4,24,2,2,1,2,9,3,99999999
484,5,1,2,1,2,0,99,0,99999999
484,2,7,2,1,1,1,1,0,99999999
484,6,32,1,2,2,3,12,1,4286
484,1,50,2,2,2,2,6,1,3429
484,2,7,1,1,9,1,1,0,99999999
840,2,40,1,1,2,3,12,1,24000
484,1,52,1,2,2,1,5,1,3000
840,1,37,1,1,2,3,12,1,12000
484,3,8,2,1,2,1,2,0,99999999
840,2,11,2,1,2,1,5,0,0
484,2,6,2,1,1,1,0,0,99999999
484,1,48,2,3,2,2,9,1,1000
484,6,40,2,1,2,3,12,1,2200
840,2,46,2,2,2,3,12,1,33500
840,1,54,2,1,2,2,10,1,6700
484,3,11,1,1,2,1,4,0,99999999
484,3,24,1,1,2,2,9,3,99999999
484,1,27,2,1,2,4,16,1,6429
484,1,56,1,2,2,2,9,1,1286
484,5,42,2,2,2,2,9,1,857
840,1,63,2,2,2,3,12,1,14000
484,1,40,1,2,2,3,12,1,5000
484,5,13,2,1,2,2,6,3,99999999
484,1,28,1,2,2,2,9,1,4286
840,2,85,2,2,2,3,13,3,0
840,2,35,2,2,2,4,13,1,94000
484,2,11,2,1,1,2,6,0,99999999
484,4,12,1,1,2,2,6,3,99999999
484,2,13,1,1,1,2,8,3,99999999
